HstNummer;Name ohne Ort;Ort;Globale ID;WGS84 X;WGS84 Y
2885;Klinikum Ost;Freising;de:09178:2885;48,4056211;11,7467299
2886;General-von-Stein-Straße;Freising;de:09178:2886;48,4085491;11,7505118
2887;Schule Neustift;Freising;de:09178:2887;48,4059789;11,7540871
2888;Asamstraße;Freising;de:09178:2888;48,4097239;11,752542
2889;Gewerbepark Römerweg;Mintraching (Grüneck);de:09178:2889;48,3300135;11,6926154
2890;Düwellstraße;Freising;de:09178:2890;48,4079647;11,7374414
2891;Stadtplatz;Moosburg (an der Isar);de:09178:2891;48,4671867;11,9351785
2892;Angermaierstraße;Freising;de:09178:2892;48,4126695;11,7549226
2893;Weningstraße;Moosburg (an der Isar);de:09178:2893;48,4626955;11,9289173
2894;Moltkestraße;Freising;de:09178:2894;48,4126039;11,7578511
2895;Dorfstraße/Bahnhof;Langenbach (Oberbay);de:09178:2895;48,4389342;11,851716
2896;Wiesenthalstraße;Freising;de:09178:2896;48,4090918;11,7599082
2897;Dr.-v.-Daller-Straße;Freising;de:09178:2897;48,4035637;11,7551292
2898;Landratsamt;Freising;de:09178:2898;48,407118;11,757896
2899;Gewerbepark;Langenbach (Oberbay);de:09178:2899;48,4353643;11,8685235
2900;Birkenallee;Pullach (im Isartal);de:09184:2900;48,0511884;11,5119193
2901;Montessorischule;Freising;de:09178:2901;48,3871011;11,757357
2902;Landshuter Straße;Freising;de:09178:2902;48,4040289;11,7513024
2903;Fraunhofer-Institut;Freising;de:09178:2903;48,3947784;11,7103482
2904;Moosgasse;Freising;de:09178:2904;48,3929412;11,7046079
2905;Hochfeldweg;Freising;de:09178:2905;48,4011006;11,7238049
2906;Studentenheim;Freising;de:09178:2906;48,3951243;11,7114261
2907;Alois-Steinecker-Straße;Freising;de:09178:2907;48,4031939;11,740846
2908;Bachstraße;Freising;de:09178:2908;48,3959295;11,7190349
2909;Angererweg;Freising;de:09178:2909;48,4051977;11,7561353
2910;Hofmiller-/Vimystr.1;Freising;de:09178:2910;48,4056987;11,7410795
2911;Weihenstephan;Freising;de:09178:2911;48,3977606;11,7233558
2912;Hohenbachernstraße;Freising;de:09178:2912;48,3982855;11,7197266
2913;Egilbertstraße;Freising;de:09178:2913;48,3968362;11,7085336
2914;Schule Vötting;Freising;de:09178:2914;48,3983332;11,7143726
2915;Thalhauser Straße;Freising;de:09178:2915;48,3991026;11,7342703
2916;Lintnerstraße;Freising;de:09178:2916;48,3986434;11,7345667
2917;Am Staudengarten;Freising;de:09178:2917;48,3985479;11,7285211
2918;Weihenstephaner Straße;Freising;de:09178:2918;48,398208;11,7371
2919;Am Vogelherd;Freising;de:09178:2919;48,4017805;11,7191157
2920;Lange Point;Freising;de:09178:2920;48,4039096;11,7303177
2921;Steinbreite;Freising;de:09178:2921;48,4039096;11,7258351
2922;Hofmiller-Gymnasium;Freising;de:09178:2922;48,4057643;11,7421755
2923;Techn. Zentrale;Freising;de:09178:2923;48,4057643;11,7187025
2924;Hittostraße;Freising;de:09178:2924;48,3971165;11,7106356
2925;Sonnenstraße;Freising;de:09178:2925;48,4015539;11,7527756
2926;Am Mitterfeld;Freising;de:09178:2926;48,3977189;11,7142379
2927;Heiliggeistgasse;Freising;de:09178:2927;48,3999734;11,7495147
2928;Gartenstraße;Freising;de:09178:2928;48,3946233;11,739247
2929;Sixthaselbach;Sixthaselbach;de:09178:2929;48,4981558;11,8712005
2930;Hans-Sachs-Straße;Unterhaching;de:09184:2930;48,0643736;11,6170402
2931;Giggenhauser Straße;Freising;de:09178:2931;48,396186;11,7173101
2932;Frühlingstraße;Freising;de:09178:2932;48,392458;11,7371539
2933;Schweinersdorf;Schweinersdorf;de:09178:2933;48,5063043;11,8728893
2934;Malvenstraße;Freising;de:09178:2934;48,3907222;11,7327342
2935;Freisinger Straße;Langenbach (Oberbay);de:09178:2935;48,4336299;11,8409902
2936;Gutenbergstraße;Freising;de:09178:2936;48,3873457;11,7326623
2937;Angerstraße Durchgang;Freising;de:09178:2937;48,3912053;11,7383756
2938;Angerstraße;Freising;de:09178:2938;48,3887536;11,7353393
2939;Gute Änger;Freising;de:09178:2939;48,3913545;11,7624235
2940;Angerbrunnenstraße;Freising;de:09178:2940;48,3888252;11,7577882
